file,missing_value,month,unit,year
gpcp_1dd_v1.2_p1d.200904_monthlyAverage.npy,-99999.,04,mm/day,2009
gpcp_1dd_v1.2_p1d.200905_monthlyAverage.npy,-99999.,05,mm/day,2009
gpcp_1dd_v1.2_p1d.200906_monthlyAverage.npy,-99999.,06,mm/day,2009
gpcp_1dd_v1.2_p1d.200907_monthlyAverage.npy,-99999.,07,mm/day,2009
gpcp_1dd_v1.2_p1d.200908_monthlyAverage.npy,-99999.,08,mm/day,2009
gpcp_1dd_v1.2_p1d.200909_monthlyAverage.npy,-99999.,09,mm/day,2009
gpcp_1dd_v1.2_p1d.200910_monthlyAverage.npy,-99999.,10,mm/day,2009
gpcp_1dd_v1.2_p1d.200911_monthlyAverage.npy,-99999.,11,mm/day,2009
gpcp_1dd_v1.2_p1d.200912_monthlyAverage.npy,-99999.,12,mm/day,2009
gpcp_1dd_v1.2_p1d.201001_monthlyAverage.npy,-99999.,01,mm/day,2010
gpcp_1dd_v1.2_p1d.201002_monthlyAverage.npy,-99999.,02,mm/day,2010
gpcp_1dd_v1.2_p1d.201003_monthlyAverage.npy,-99999.,03,mm/day,2010
gpcp_1dd_v1.2_p1d.201004_monthlyAverage.npy,-99999.,04,mm/day,2010
gpcp_1dd_v1.2_p1d.201005_monthlyAverage.npy,-99999.,05,mm/day,2010
gpcp_1dd_v1.2_p1d.201006_monthlyAverage.npy,-99999.,06,mm/day,2010
gpcp_1dd_v1.2_p1d.201007_monthlyAverage.npy,-99999.,07,mm/day,2010
gpcp_1dd_v1.2_p1d.201008_monthlyAverage.npy,-99999.,08,mm/day,2010
gpcp_1dd_v1.2_p1d.201009_monthlyAverage.npy,-99999.,09,mm/day,2010
gpcp_1dd_v1.2_p1d.201010_monthlyAverage.npy,-99999.,10,mm/day,2010
gpcp_1dd_v1.2_p1d.201011_monthlyAverage.npy,-99999.,11,mm/day,2010
gpcp_1dd_v1.2_p1d.201012_monthlyAverage.npy,-99999.,12,mm/day,2010
gpcp_1dd_v1.2_p1d.201101_monthlyAverage.npy,-99999.,01,mm/day,2011
gpcp_1dd_v1.2_p1d.201102_monthlyAverage.npy,-99999.,02,mm/day,2011
gpcp_1dd_v1.2_p1d.201103_monthlyAverage.npy,-99999.,03,mm/day,2011
gpcp_1dd_v1.2_p1d.201104_monthlyAverage.npy,-99999.,04,mm/day,2011
gpcp_1dd_v1.2_p1d.201105_monthlyAverage.npy,-99999.,05,mm/day,2011
gpcp_1dd_v1.2_p1d.201106_monthlyAverage.npy,-99999.,06,mm/day,2011
gpcp_1dd_v1.2_p1d.201107_monthlyAverage.npy,-99999.,07,mm/day,2011
gpcp_1dd_v1.2_p1d.201108_monthlyAverage.npy,-99999.,08,mm/day,2011
gpcp_1dd_v1.2_p1d.201109_monthlyAverage.npy,-99999.,09,mm/day,2011
gpcp_1dd_v1.2_p1d.201110_monthlyAverage.npy,-99999.,10,mm/day,2011
gpcp_1dd_v1.2_p1d.201111_monthlyAverage.npy,-99999.,11,mm/day,2011
gpcp_1dd_v1.2_p1d.201112_monthlyAverage.npy,-99999.,12,mm/day,2011
gpcp_1dd_v1.2_p1d.201201_monthlyAverage.npy,-99999.,01,mm/day,2012
gpcp_1dd_v1.2_p1d.201202_monthlyAverage.npy,-99999.,02,mm/day,2012
gpcp_1dd_v1.2_p1d.201203_monthlyAverage.npy,-99999.,03,mm/day,2012
gpcp_1dd_v1.2_p1d.201204_monthlyAverage.npy,-99999.,04,mm/day,2012
gpcp_1dd_v1.2_p1d.201205_monthlyAverage.npy,-99999.,05,mm/day,2012
gpcp_1dd_v1.2_p1d.201206_monthlyAverage.npy,-99999.,06,mm/day,2012
gpcp_1dd_v1.2_p1d.201207_monthlyAverage.npy,-99999.,07,mm/day,2012
gpcp_1dd_v1.2_p1d.201208_monthlyAverage.npy,-99999.,08,mm/day,2012
gpcp_1dd_v1.2_p1d.201209_monthlyAverage.npy,-99999.,09,mm/day,2012
gpcp_1dd_v1.2_p1d.201210_monthlyAverage.npy,-99999.,10,mm/day,2012
gpcp_1dd_v1.2_p1d.201211_monthlyAverage.npy,-99999.,11,mm/day,2012
gpcp_1dd_v1.2_p1d.201212_monthlyAverage.npy,-99999.,12,mm/day,2012
gpcp_1dd_v1.2_p1d.201301_monthlyAverage.npy,-99999.,01,mm/day,2013
gpcp_1dd_v1.2_p1d.201302_monthlyAverage.npy,-99999.,02,mm/day,2013
gpcp_1dd_v1.2_p1d.201303_monthlyAverage.npy,-99999.,03,mm/day,2013
gpcp_1dd_v1.2_p1d.201304_monthlyAverage.npy,-99999.,04,mm/day,2013
gpcp_1dd_v1.2_p1d.201305_monthlyAverage.npy,-99999.,05,mm/day,2013
gpcp_1dd_v1.2_p1d.201306_monthlyAverage.npy,-99999.,06,mm/day,2013
gpcp_1dd_v1.2_p1d.201307_monthlyAverage.npy,-99999.,07,mm/day,2013
gpcp_1dd_v1.2_p1d.201308_monthlyAverage.npy,-99999.,08,mm/day,2013
gpcp_1dd_v1.2_p1d.201309_monthlyAverage.npy,-99999.,09,mm/day,2013
gpcp_1dd_v1.2_p1d.201310_monthlyAverage.npy,-99999.,10,mm/day,2013
gpcp_1dd_v1.2_p1d.201311_monthlyAverage.npy,-99999.,11,mm/day,2013
gpcp_1dd_v1.2_p1d.201312_monthlyAverage.npy,-99999.,12,mm/day,2013
gpcp_1dd_v1.2_p1d.201401_monthlyAverage.npy,-99999.,01,mm/day,2014
gpcp_1dd_v1.2_p1d.201402_monthlyAverage.npy,-99999.,02,mm/day,2014
gpcp_1dd_v1.2_p1d.201403_monthlyAverage.npy,-99999.,03,mm/day,2014
